
code	|	name	|	preferred name	|	lineage
1	|	Fusarium	|	 	|	5506 110618 5125 222543 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Candida	|	 	|	5475 1535325 766764 2916678 4892 4891 147537 716545 4890 451864 4751 33154 2759 131567 
1	|	Pyricularia	|	 	|	48558 2528436 639021 222544 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Kuraishia	|	 	|	317045 241407 4892 4891 147537 716545 4890 451864 4751 33154 2759 131567 
1	|	Nannizzia	|	 	|	1915381 34384 33183 451871 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Fusarium	|	 	|	5506 110618 5125 222543 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Postia	|	 	|	83235 2983313 5303 355688 155619 5302 5204 451864 4751 33154 2759 131567 
1	|	Nothophytophthora	|	 	|	2025987 4777 4776 4762 33634 2698737 2759 131567 
1	|	Phytophthora	|	 	|	4783 4777 4776 4762 33634 2698737 2759 131567 
1	|	Bolivinella	|	 	|	2448407 2448406 203407 29185 29178 2662056 543769 2698737 2759 131567 
1	|	Colletotrichum	|	 	|	5455 681950 1028384 222543 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Aspergillus	|	 	|	5052 1131492 5042 451871 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Aspergillus	|	 	|	5052 1131492 5042 451871 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Phytophthora	|	 	|	4783 4777 4776 4762 33634 2698737 2759 131567 
1	|	Chlorarachnion	|	 	|	29198 29197 136419 543769 2698737 2759 131567 
1	|	Globobulimina	|	 	|	212512 212504 212503 29185 29178 2662056 543769 2698737 2759 131567 
1	|	Bolivina	|	 	|	46083 46101 212511 29185 29178 2662056 543769 2698737 2759 131567 
1	|	Rhizopus	|	 	|	4842 1344955 1344963 4827 2212703 451507 1913637 112252 4751 33154 2759 131567 
1	|	Penicillium	|	 	|	5073 1131492 5042 451871 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Fusarium	|	 	|	5506 110618 5125 222543 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Drechmeria	|	 	|	98402 474942 5125 222543 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Bolivina	|	 	|	46083 46101 212511 29185 29178 2662056 543769 2698737 2759 131567 
1	|	Fusarium	|	 	|	5506 110618 5125 222543 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Chlorarachnion	|	 	|	29198 29197 136419 543769 2698737 2759 131567 
1	|	Ilyonectria	|	 	|	1079112 110618 5125 222543 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Didymosphaeria	|	 	|	85947 221678 1255046 92860 451868 147541 715962 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Perkinsus	|	 	|	28000 27999 27998 27997 2497438 33630 2698737 2759 131567 
1	|	Ogataea	|	 	|	461281 1156497 4892 4891 147537 716545 4890 451864 4751 33154 2759 131567 
1	|	Bolivinella	|	 	|	2448407 2448406 203407 29185 29178 2662056 543769 2698737 2759 131567 
1	|	Brettanomyces	|	 	|	13366 1156497 4892 4891 147537 716545 4890 451864 4751 33154 2759 131567 
1	|	Bolivina	|	 	|	46083 46101 212511 29185 29178 2662056 543769 2698737 2759 131567 
1	|	Colletotrichum	|	 	|	5455 681950 1028384 222543 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Pelagophyceae	|	 	|	35675 2696291 33634 2698737 2759 131567 
